Harinavi Ambulance Pariseba,,4.5,8,"Tulshi Charan Ghosh Street, Harinavi, Kolkata - 700148, Near Sonarpur Rural Hospital",

Stanplus Red Ambulance,,5.0,2,"Nurmull Lohia Lane, Kolkata GPO, Kolkata - 700001",

Jiban Suraksha Ambuluance S..,,3.1,5,"4c panchanantala, Kolkata - 700029, near M R I",

AMRI Hospitals - Dhakuria,,4.2,4469,"P 4 & 5, Block  A, Gariahat Road, Dhakuria, Kolkata - 700031, Near Dhakuria Bridge",

Aradhya Ambulance,,4.8,45,"No. 50, Sultan Alam Road, Tollygunge, Kolkata - 700033, Near M R Bangur Hospital",

Bapi Ambulance Services,,3.9,14,"51/1A, Satish Mukherjee Road, Kalighat, Kolkata - 700026, Near Opp Lake Mall",

Bidhanagar North Society Fo..,,4.7,11,"CF 109 Saltlake City Sector 1, Bidhan Nagar, Kolkata - 700064, Near Manorama Studio",

Amit Ambulance And Home Car..,,4.5,17,"Sahebabad, Dhapa, Kolkata - 700105, Opposite JW Marriot",

Kusum Medico Emergency Serv..,,4.9,27,"Gopinath Bhaban, 132 Karunamoyee Ghat Road, Haridevpur, Kolkata - 700082",

Zoya Travels & Ambulance Se..,,5.0,4,"Gabtala Hatishala More, New Town, Kolkata - 700156, Near New Town Unitech Building Gate 1.",

Barisha Silpara Ambulance S..,,4.5,15,"Diamond Harbour Road, Barisha, Kolkata - 700008, Near Barisha Sakti Sangha",

AMRI Hospitals - Saltlake,,4.1,3749,"KB 24, KB Block, Salt Lake City, Sector 3, Salt Lake City Sector 3, Kolkata - 700106, Near Salt Lake Stadium Gate Number 3, Salt Lake City Sector 3",

Banerjee Ambulance,,4.5,68,"Bf 7/30, Deshbandhu Nagar, Baguiati, Kolkata - 700059, Near Naba Tarun Sangha Club",

Rabi Ambulance Services,,4.8,9,"Block-CK, Salt Lake City Sector 2, Kolkata - 700091, Near Anandaloke Hospital",

Mahaprabhu Ambulance Servic..,,5.0,2,"RG Kar Medical College, Shambazar, Shyambazar, Kolkata - 700004",

Bapi Ambulance Services,,3.9,14,"51/1A, Satish Mukherjee Road, Kalighat, Kolkata - 700026, Near Opp Lake Mall",

Sanjit Ambulance Services,,3.5,2,"48 No, Gora Chand Road, Entally, Kolkata - 700014, Near Chittaranjan Hospital",

Pritam Ambulance Services,,4.7,20,"Jadavpur Central Road, Jadavpur, Kolkata - 700032, Near Kpc Hosipital",

D R Ambulance Service,,4.1,15,"Newtown Jatraghi,Ghuni, Hatiara, Kolkata - 700157, Near DLF 2",

AMRI Hospitals - Dhakuria,,4.2,4469,"P 4 & 5, Block  A, Gariahat Road, Dhakuria, Kolkata - 700031, Near Dhakuria Bridge",

Uttam Ambulance Service,,4.4,55,"57/6 B T Road, Phool Bagan, Cossipore, Kolkata - 700002, Near Rabindra Bharati University and Maysare Hospital",

Pritam Ambulance Services,,4.7,20,"Jadavpur Central Road, Jadavpur, Kolkata - 700032, Near Kpc Hosipital",

D R Ambulance Service,,4.1,15,"Newtown Jatraghi,Ghuni, Hatiara, Kolkata - 700157, Near DLF 2",

Ankita Ambulance Services,,3.5,2,"Canal West Road, Beadon Street, Kolkata - 700006, Near Lotus Weight Bridge (Manicktala Thana)",

Biswajit Ambulance Service,,4.9,54,"DK-7/3, Salt Lake City Sector 1, Kolkata - 700064, Near Anandalok Hospital",

AMRI Hospitals - Dhakuria,,4.2,4469,"P 4 & 5, Block  A, Gariahat Road, Dhakuria, Kolkata - 700031, Near Dhakuria Bridge",

Zoya Travels & Ambulance Se..,,5.0,4,"Gabtala Hatishala More, New Town, Kolkata - 700156, Near New Town Unitech Building Gate 1.",

S A S Enterprise,,4.9,17,"32no, Gobra Road, Topsia, Kolkata - 700046, Peace World",

Kusum Medico Emergency Serv..,,4.9,27,"Gopinath Bhaban, 132 Karunamoyee Ghat Road, Haridevpur, Kolkata - 700082",

Srirampur Ambulance Service,,5.0,33,"Srirampur Hospital Road, Dakshin Gobindapur, Kolkata - 700145, Near Srirampur Hospital",

